昇格前,２級,３級,４級
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,2,1
11,1,3,1
12,1,4,1
13,1,5,1
14,1,6,1
15,1,7,1
16,1,8,1
17,1,9,1
18,1,10,1
19,1,11,1
20,1,12,1
21,1,13,1
22,1,14,2
23,1,15,3
24,1,16,4
25,1,17,5
26,1,18,6
27,1,19,7
28,1,20,8
29,1,21,9
30,1,22,10
31,1,23,11
32,1,24,12
33,1,25,13
34,2,26,14
35,3,27,15
36,4,28,16
37,5,29,17
38,6,30,18
39,7,31,19
40,8,32,20
41,9,33,21
42,10,34,22
43,11,35,23
44,12,36,24
45,13,37,25
46,14,37,26
47,15,38,27
48,16,38,28
49,17,39,29
50,18,39,30
51,19,40,31
52,20,40,32
53,21,41,33
54,22,42,33
55,23,43,34
56,24,44,34
57,25,45,35
58,26,45,35
59,27,46,36
60,28,46,36
61,29,47,37
62,30,47,38
63,31,48,39
64,32,48,40
65,33,49,41
66,34,50,42
67,35,51,43
68,36,52,44
69,37,53,45
70,38,53,45
71,39,54,45
72,40,54,46
73,41,55,46
74,42,55,46
75,43,56,47
76,44,56,47
77,45,57,47
78,46,57,48
79,47,58,48
80,48,58,48
81,49,59,49
82,50,59,49
83,51,60,49
84,52,60,49
85,53,61,50
86,54,61,50
87,55,61,50
88,56,61,50
89,57,62,51
90,57,62,51
91,58,62,51
92,58,62,51
93,59,63,52
94,59,63,52
95,60,63,52
96,60,63,52
97,61,64,53
98,62,64,53
99,63,64,53
100,64,64,53
101,65,65,53
102,66,65,54
103,67,65,54
104,68,65,54
105,69,66,54
106,70,66,54
107,71,66,55
108,72,66,55
109,73,67,55
110,73,67,55
111,74,67,55
112,74,67,56
113,75,68,56
114,75,68,56
115,76,68,56
116,76,68,56
117,77,69,57
118,77,69,57
119,77,69,57
120,77,69,57
121,78,70,58
122,78,70,58
123,78,70,58
124,78,70,58
125,79,71,59
126,79,71,59
127,79,71,59
128,79,71,59
129,80,72,60
130,80,,60
131,80,,60
132,80,,60
133,81,,61
134,81,,61
135,81,,61
136,82,,62
137,82,,62
138,82,,62
139,83,,63
140,83,,63
141,83,,63
142,84,,
143,84,,
144,84,,
145,85,,
146,85,,
147,85,,
148,86,,
149,86,,

